src,dst
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
16,365
0,9
1,2
3,0
1,0
0,0
2,0
0,5
0,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
4,1
0,1
1,0
2,0
1,0
2,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
3,0
0,1
1,0
0,0
1,0
0,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,1
0,0
1,0
0,0
0,0
1,0
0,0
2,0
0,0
3,0
1,0
2,0
0,0
0,0
4,1
1,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
2,0
0,0
0,0
1,0
1,0
3,0
0,0
1,0
2,0
0,0
0,0
0,0
0,0
1,0
3,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
2,0
0,0
0,0
2,0
4,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
2,0
0,0
1,0
0,1
1,0
1,0
2,0
1,1
0,0
0,0
0,0
2,0
3,1
0,0
2,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
1,1
0,0
0,0
2,1
1,0
0,0
1,0
0,0
0,0
1,0
0,0
2,0
0,0
0,0
4,0
0,0
0,0
0,0
0,1
2,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,1
1,0
0,0
2,0
2,0
1,0
0,0
1,0
1,0
2,0
0,0
0,0
1,0
0,0
0,0
0,0
2,0
0,0
0,1
1,0
0,0
0,1
1,0
0,1
1,0
2,0
0,0
3,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
2,0
0,1
0,0
0,0
0,0
0,0
0,1
1,0
1,0
0,0
0,0
3,0
0,0
1,0
2,0
2,0
0,0
1,0
2,0
2,0
0,0
0,0
0,1
2,0
3,0
1,0
1,0
1,0
1,0
0,0
2,0
2,0
2,0
0,0
1,0
0,0
0,1
1,0
1,0
1,0
2,0
3,0
0,0
4,0
2,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
2,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
2,0
0,0
2,0
1,0
2,0
3,0
0,0
2,0
0,0
0,0
3,0
1,0
1,0
2,0
2,0
3,0
2,0
1,0
1,0
2,0
2,0
3,0
1,0
4,0
2,0
2,0
6,0
0,0
4,0
1,0
2,0
3,0
2,0
2,0
0,0
0,0
1,0
5,0
1,0
5,0
1,0
3,0
5,0
3,0
4,0
4,0
2,0
2,0
5,0
0,0
5,0
0,0
3,0
3,0
2,0
4,0
5,0
4,0
7,0
3,0
4,0
6,0
4,0
4,0
4,0
2,0
2,0
3,0
4,0
2,0
4,0
2,0
2,0
1,0
2,0
6,0
5,0
2,0
7,0
8,0
6,0
3,0
4,0
9,0
2,0
7,0
1,0
5,0
1,0
1,0
0,0
4,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
2,0
1,0
0,1
1,0
0,0
1,0
0,1
1,0
2,1
1,0
1,0
4,0
2,1
3,1
5,0
2,0
4,0
2,0
1,0
5,0
4,0
0,0
0,0
1,0
1,0
11,0
2,0
3,0
3,0
2,0
2,0
2,0
3,0
5,0
2,0
2,0
0,0
0,0
3,0
0,0
2,0
2,0
3,0
0,0
3,0
3,0
2,0
2,0
2,0
1,0
1,1
3,1
2,0
1,0
3,0
4,1
4,2
5,3
2,2
4,0
0,0
1,0
1,1
0,0
1,0
0,1
2,1
2,2
1,1
2,1
1,2
0,1
2,1
2,1
3,0
1,1
0,0
1,0
3,0
6,0
1,0
3,0
0,0
3,0
2,0
1,0
2,0
5,1
3,1
1,1
1,1
3,1
8,2
1,1
4,2
4,0
3,0
4,0
3,0
3,1
4,0
2,0
0,0
1,0
1,1
1,0
1,0
1,0
4,0
5,1
3,0
5,0
3,0
2,0
3,0
1,0
3,0
3,0
5,0
5,0
2,2
0,0
1,0
2,0
1,0
1,0
3,0
4,0
1,0
2,0
3,0
3,0
3,0
2,0
2,0
2,0
5,0
2,0
0,0
0,0
4,2
3,0
3,0
1,0
2,0
1,0
0,0
0,0
2,0
0,0
3,0
3,0
1,0
1,0
2,0
4,0
4,0
3,0
1,0
5,0
2,1
1,0
3,1
3,0
4,0
1,0
3,0
1,0
2,2
1,0
2,0
1,0
2,0
0,2
0,0
4,0
4,0
2,0
2,0
4,0
2,0
2,0
4,0
4,0
1,0
1,0
10,0
0,0
2,0
1,2
0,1
1,0
0,0
1,0
3,0
6,0
3,0
0,0
1,0
3,0
5,0
3,0
0,0
3,0
3,0
4,0
2,0
3,1
3,0
2,0
1,0
3,0
1,0
2,0
2,0
3,0
4,0
3,0
2,0
2,0
2,0
0,0
0,0
1,0
0,0
1,0
5,0
2,0
1,0
4,0
1,0
0,0
5,0
4,0
2,0
2,0
2,0
3,0
1,0
0,0
1,0
1,0
2,0
4,0
3,0
1,0
3,0
1,0
3,0
2,0
2,0
2,0
6,0
3,0
6,0
1,0
3,0
1,0
0,0
1,0
5,0
4,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
2,0
0,0
0,0
0,1
3,0
1,0
2,0
5,0
2,0
4,0
10,0
1,0
4,0
2,0
3,0
2,0
5,0
3,0
1,0
3,0
2,0
1,0
2,0
2,0
4,0
1,0
0,0
2,0
1,0
2,0
0,0
0,0
3,0
2,0
1,0
2,0
1,0
0,0
2,0
0,0
6,0
4,0
4,0
0,0
0,0
1,0
1,0
1,0
3,0
1,0
1,0
0,0
1,0
1,0
5,0
3,0
1,0
1,0
2,0
2,0
1,0
3,0
2,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
3,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
2,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
2,0
0,0
0,0
1,2
0,0
0,0
1,0
0,0
0,1
1,0
0,1
2,0
1,0
1,0
0,0
0,0
2,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
0,2
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
4,0
4,0
4,2
2,0
1,0
3,0
2,0
1,0
1,0
3,0
0,0
0,0
0,0
3,0
0,0
1,0
1,0
0,0
1,0
0,0
3,1
0,0
0,0
0,0
2,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
3,0
0,0
1,0
2,0
1,0
1,0
1,0
0,0
0,0
0,1
0,0
1,0
2,0
0,0
0,0
1,0
0,0
2,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
2,0
1,0
0,0
1,0
2,0
1,0
2,0
0,0
2,0
2,0
3,0
0,0
1,0
3,0
3,0
3,0
0,0
1,0
2,0
2,0
2,0
2,0
0,2
1,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,2
0,0
2,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
2,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
4,0
0,0
0,0
2,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
2,0
0,0
2,0
1,0
1,0
2,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
2,0
0,0
1,0
1,0
0,0
0,0
2,0
0,0
4,0
2,0
0,0
0,0
3,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
2,0
1,0
1,0
0,0
2,0
1,0
0,0
3,1
0,0
1,0
0,0
0,0
2,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
2,0
2,0
1,0
2,0
1,0
2,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
3,0
0,0
2,0
0,0
0,0
0,0
1,0
0,0
2,0
1,0
2,0
0,0
3,0
0,0
2,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
2,0
2,0
2,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
0,0
1,0
3,0
1,0
2,0
2,0
2,0
2,0
5,0
0,0
3,0
1,0
2,0
3,0
1,0
0,0
0,0
2,1
5,0
0,0
0,0
2,0
0,0
2,0
0,0
0,9
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
2,0
0,0
0,0
2,0
2,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
1,0
2,0
1,0
2,0
1,0
2,0
2,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
2,0
0,0
0,0
3,0
0,0
1,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
1,0
0,0
2,0
0,0
1,0
1,0
0,2
3,0
0,1
0,0
0,2
0,2
0,1
0,1
0,1
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
2,0
0,1
0,0
0,0
1,0
0,0
0,0
2,0
1,4
0,0
0,0
0,0
1,0
0,0
0,1
0,0
0,0
1,0
1,0
0,1
0,1
1,1
1,0
2,0
0,1
2,3
1,2
1,2
0,0
0,0
4,0
0,0
1,0
2,0
1,0
1,0
0,0
2,2
2,0
1,0
1,0
1,0
0,0
3,0
0,1
0,0
0,0
0,0
0,0
0,0
0,2
0,0
0,0
3,0
1,0
2,0
2,3
1,0
0,1
1,0
0,1
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
2,0
0,0
0,0
0,1
0,1
1,1
0,0
0,1
0,1
0,3
0,1
0,0
0,0
0,0
1,0
0,0
2,0
2,0
1,0
0,0
2,0
0,0
0,0
0,0
1,0
1,0
1,0
2,0
1,0
2,0
0,0
1,0
0,0
3,0
4,0
1,0
3,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
1,0
1,0
0,0
1,0
1,0
0,0
1,1
2,0
0,1
2,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
2,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
2,0
1,0
0,0
1,1
1,1
2,0
1,0
1,0
1,0
0,0
0,0
0,1
1,0
1,0
1,2
0,2
2,0
1,0
1,0
2,0
0,1
0,0
1,0
1,0
1,2
0,0
1,0
2,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
3,0
0,0
0,0
0,0
0,1
1,1
1,0
0,0
1,0
2,1
0,1
2,2
1,2
0,0
0,0
0,0
1,0
0,1
0,0
0,0
0,0
2,1
0,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
1,0
1,2
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
1,0
0,1
0,0
1,0
1,0
0,0
0,0
0,0
1,0
0,2
0,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
2,0
1,0
0,0
0,0
4,0
0,0
0,0
2,0
0,0
2,0
1,0
1,0
1,0
2,0
2,0
4,0
1,0
2,0
2,0
0,0
1,0
0,0
2,0
0,0
0,0
0,0
1,0
2,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
2,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
2,0
1,0
0,0
1,0
2,0
2,0
2,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,3
0,0
1,0
2,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
2,0
0,0
1,0
0,0
1,0
2,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
2,0
2,0
1,0
0,0
0,0
0,0
0,0
2,0
1,0
0,0
1,0
1,0
3,0
2,0
2,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
2,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
2,0
1,0
2,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
3,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
2,0
2,0
0,0
1,0
1,0
0,0
0,0
2,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
1,0
0,0
0,0
1,0
1,0
2,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,3
0,0
0,1
0,0
0,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,1
0,0
0,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,0
1,0
0,0
0,0
0,0
1,0
1,0
2,1
0,0
1,0
2,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
1,1
0,1
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
2,0
1,0
2,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
1,1
1,1
0,0
0,0
0,2
0,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
3,1
1,1
1,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
1,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
2,0
2,0
0,0
1,0
1,0
1,0
2,0
0,0
2,0
0,0
1,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
1,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
1,0
1,0
3,0
1,0
1,0
2,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
3,0
0,0
0,0
0,0
1,0
0,4
0,0
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
2,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,1
1,1
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
2,0
0,0
0,0
0,0
0,0
3,0
1,0
1,1
1,0
1,0
1,0
0,0
0,0
1,0
2,0
2,2
1,1
0,1
1,0
1,0
1,0
0,0
1,0
0,0
2,0
1,0
3,0
1,0
0,0
0,0
0,1
0,0
0,0
0,1
0,0
0,0
1,0
1,0
0,0
2,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
2,0
2,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
1,0
1,0
1,0
1,8
1,0
0,0
0,0
0,0
2,0
1,1
0,0
1,0
2,0
0,0
1,0
1,0
2,0
1,0
2,0
2,0
2,0
1,0
2,0
3,0
0,0
2,0
0,0
1,0
0,0
1,0
2,0
0,0
1,0
0,0
2,0
1,0
2,0
0,0
1,0
0,0
2,0
0,0
0,0
0,0
2,0
0,0
1,0
0,0
4,0
0,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
0,0
0,0
2,0
0,1
0,1
1,0
2,0
1,2
3,0
1,1
2,0
0,1
0,1
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
0,1
0,2
0,1
2,0
2,0
1,0
0,1
0,1
0,0
0,1
1,2
0,1
0,0
0,0
